Author,Year,Title,Journal,Abstract,article_id,keywords,Terrestrial/Aquatic,Ecosystem,Location,Study Type,Organism,Mechanism of Shift,Stressor Category,Specific Stressor,Measure,Tissue Type,Lipid Correction,TDF,Baselines,Result (Direction),Result description,Where result appears in paper,Model,P-value,R-squared
E WADA and H MIZUTANI and M MINAGAWA,1991,THE USE OF STABLE ISOTOPES FOR FOOD WEB ANALYSIS,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,"General aspects in isotope biogeochemistry was summarized with emphasis
   on delta-N-15 and delta-C-13 contents in plants and animals in natural
   ecosystems.
   In the estuary, the variation of isotope ratios were principally
   governed by the mixing of land-derived organic matter, marine
   phytoplankton, and seagrasses.  A clear cut linear relationship between
   animal delta-N-15 and its trophic level was obtained in the Antarctic
   food chain system.
   Several current efforts to use the stable isotopes for food web analysis
   were demonstrated for some terrestrial and marine systems as well as
   human food web.",10.1080/10408399109527547,DELTA-N-15; DELTA-C-13; FOOD WEB; ISOTOPE BIOGEOCHEMISTRY,,,,,,,,,,,,,,,,,,,
DE Schindler and SR Carpenter and JJ Cole and JF Kitchell and ML Pace,1997,"Influence of food web structure on carbon exchange between lakes and the
   atmosphere",SCIENCE,"Top predators and nutrient loading in lakes were manipulated to assess
   the influence oi food web structure on carbon flux between lakes and the
   atmosphere. Nutrient enrichment increased primary production, causing
   lakes to become net sinks for atmospheric carbon (C-atm). Changes in top
   predators caused shifts in grazers. At identical nutrient loading, C-atm
   invasion was greater to a lake with low grazing than to one with high
   grazing. Carbon stable-isotope distributions corroborated the drawdown
   of lake carbon dioxide and traced C-atm transfer from algae to top
   predators Thus, top predators altered ecosystem carbon fixation and
   linkages to the atmosphere.",10.1126/science.277.5323.248,NA,,,,,,,,,,,,,,,,,,,
MJ {Vander Zanden} and JM Casselman and JB Rasmussen,1999,"Stable isotope evidence for the food web consequences of species
   invasions in lakes",NATURE,"Species invasions pose a serious threat to biodiversity and native
   ecosystems(1,2); however, predicting and quantifying the impacts of
   invasive species has proven problematic(3-6). Here we use stable isotope
   ratios to document the food-web consequences of the invasion of two
   non-native predators, smallmouth bass and rack bass, into Canadian
   lakes. Invaded lakes had lower littoral prey-fish diversity and
   abundance than uninvaded reference lakes. Consistent with this
   difference, lake trout from invaded lakes had more negative delta(13)C
   values (-29.2 parts per thousand versus -27.4 parts per thousand) and
   reduced trophic positions (3.3 versus 3.9) than those from reference
   lakes, indicating differences in food-web structure, Furthermore, a
   comparison of the pre- and post-invasion food webs of two recently
   invaded lakes showed that invasion was followed by substantial declines
   in littoral prey-fish abundance and the trophic position of lake trout,
   reflecting a shift in the diet of lake trout towards zooplankton and
   reduced dependence on littoral fish. This study demonstrates the use of
   stable isotope techniques to detect changes in food-web structure
   following perturbations; in this instance, bass-induced food-web shifts
   may have severe consequences for native species and ecosystems.",10.1038/46762,NA,,,,,,,,,,,,,,,,,,,
"Rothe, J and Gleixner, G",2000,Do stable isotopes reflect the food web development in regenerating ecosystems?,Isotopes in environmental and health studies,"We evaluated the use of delta15N- and delta13C-values to monitor the development of food web complexity and biodiversity in a regenerating ecosystem. Therefore a model food chain was established feeding cultivated woodlice (Porcellio dilatatus) on a cellulolytic fungus (Chaetomium globosum) grown on cellulose paper. Two diets of different quality (C:N ratios of 54 vs. 200) with different delta15N- (1.3% vs. 3.1%) but identical delta13C-values caused low and high dietary stress in animals of treatment A and B, respectively. After an incubation time of 7 weeks amount, elemental and isotopic composition of collected faeces and exuviae as well as woodlice and remaining food were determined. The increase of delta15N-values of woodlice relative to the diet was 5.7% and 2.5% in treatments A and B, respectively, whereas delta13C-shifts were 1.0% and 1.6%, showing a reverse relationship. Modelling of elemental and isotopic mass balances indicated that faeces recycling explains the unexpected high 15N-enrichments. Moreover, 13C-enrichments were positively correlated to the degree of starvation. Considering the effects of starvation and recycling of faeces, stable isotopes represent a useful tool to elucidate trophic interactions in regenerating food webs.",10.1080/10256010008036388 [doi],NA,,,,,,,,,,,,,,,,,,,
"Shannon, J P and Blinn, D W and Haden, G A and Benenati, E P and Wilson, K P",2001,Food web implications of delta13C and delta15N variability over 370 km of the regulated Colorado River USA.,Isotopes in environmental and health studies,"Dual stable isotope analysis in the regulated Colorado River through Grand Canyon National Park, USA, revealed a food web that varied spatially through this arid biome. Down-river enrichment of delta13C data was detected across three trophic levels resulting in shifted food webs. Humpack chub delta13C and delta15N values from muscle plugs and fin clips did not differ significantly. Humpback chub and rainbow trout trophic position is positively correlated with standard length indicating an increase in piscivory by larger fishes. Recovery of the aquatic community from impoundment by Glen Canyon Dam and collecting refinements for stable isotope analysis within large rivers are discussed.",10.1080/10256010108033294 [doi],NA,,,,,,,,,,,,,,,,,,,
MJ {Vander Zanden} and JB Rasmussen,2002,"Food web perspectives on studies of bass populations in north-temperate
   lakes",NA,"There is growing recognition of the potential contributions of food web
   and ecosystem-level approaches to lake and fisheries management. Often,
   these approaches are data intensive and require information on
   predator-prey interactions and consumer diets. Gut content analysis
   adequately provides population-level diet information, but is more
   limited in ability to provide information at finer (intra-population) or
   coarser (whole food web) organizational scales. In this study, we review
   three applications of stable isotope techniques to studies of bass
   trophic ecology. In each case, the approach is used to provide
   quantitative information at organizational levels that is otherwise
   difficult to obtain using gut content analysis. In the first example, we
   examine intra-population trophic variation in young-of-the-year (YOY)
   smallmouth bass Micropterus dolomieu. delta(13)C indicated ontogenic
   trophic habitat shifts from pelagic to benthic prey during first summer.
   delta(15)N was correlated with body size on the final sample date,
   suggesting that dietary differences might explain intra-population
   variation in growth rates. The second example demonstrates an
   application of stable isotope techniques to examine impacts of species
   invasion at the whole-food web scale. This approach revealed that lake
   trout Salvelinus namaycush, typically viewed as a pelagic predator, can
   often rely heavily on littoral prey fish.-Reduction in littoral prey
   fish following the invasion of nonnative smallmouth bass and rock bass
   Ambloplites rupestris prompted lake trout to shift towards planktivory.
   The third example uses stable isotope information to classify lakes
   according to their sensitivity to bass invasion. Stable isotope evidence
   indicated that bass and lake trout subsist on separate food chains in
   lakes that contain pelagic prey fish (cisco, lake whitefish, rainbow
   smelt). Thus, bass introductions into these lakes is predicted not to
   affect lake trout populations. Identifying particular lakes and
   lake-types that are sensitive to bass introductions can guide efforts of
   lake managers to minimize negative impacts of bass introductions on lake
   trout.",NA,NA,,,,,,,,,,,,,,,,,,,
John W. Hollows and Colin R. Townsend and Kevin J. Collier,2002,"Diet of the crayfish <i>Paranephrops zealandicus</i> in bush and pasture
   streams: insights from stable isotopes and stomach analysis",NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,"Crayfish (Paranephrops zealandicus White) stomachs from streams in both
   native bush (mainly tree leaves and dicotyledonous seeds) and exotic
   pasture settings (mainly grass stems and monocotyledonous seeds) were
   dominated by allochthonous material. More detritus occurred in stomachs
   in autumn-winter than in spring-summer, but quantities were similar in
   crayfish from native bush and pasture streams. The stomachs of larger
   crayfish contained a significantly greater proportion of detritus than
   smaller individuals. Aquatic invertebrates were the second most abundant
   dietary category by volume, with highest values in winter, but there
   were no significant differences between land uses or crayfish size
   classes. A wide range of invertebrates was eaten by crayfish, with
   mayfly nymphs, chironomid larvae, and snails predominating. The latter
   were numerically more prominent in crayfish from bush than pasture
   streams. Terrestrial invertebrates were recorded from 4\% of stomachs,
   but there were no significant differences in relation to land use,
   season, or crayfish size class. Despite aquatic invertebrates making up
   <4\% of stomach volumes on average, stable isotope analysis indicated a
   greater importance for invertebrate prey in terms of assimilation and
   incorporation into crayfish biomass. Allochthonous detritus and moss
   appeared to be unimportant. Whereas the results of stomach analysis
   provided some evidence of an ontogenetic shift, with detritus assuming
   greater importance in larger crayfish, this pattern was not supported by
   isotope analysis because invertebrate prey appeared more important to
   the diet than detritus. An unidentified carbon source, depleted in (13)C
   and perhaps of microfloral origin, seems to be an important energy
   source for crayfish in both stream types.",10.1080/00288330.2002.9517076,"Paranephrops; land use; diet; carbon stable isotopes; nitrogen stable
   isotopes",,,,,,,,,,,,,,,,,,,
S Jennings and KJ Warr and S Mackinson,2002,"Use of size-based production and stable isotope analyses to predict
   trophic transfer efficiencies and predator-prey body mass ratios in food
   webs",MARINE ECOLOGY PROGRESS SERIES,"Methods of assessing the structure and function of food webs are needed
   to provide a basis for assessing large-scale direct (e.g. fisheries) and
   indirect (e.g. climate change) effects of human activities on marine
   ecosystems. We present a simple synthesis of the complex structure and
   function of a real marine food web, based on analyses of body size
   distributions, production-body size relationships and trophic level-body
   size relationships. We show how size-based estimates of production,
   species richness and trophic level (from nitrogen stable isotope
   analysis) can be used to quantify trophic transfer efficiency, mean
   predator-prey body-mass ratios and the mean ratio of the number of
   predator to prey species in marine food webs. We applied these methods
   to the central North Sea, and estimated transfer efficiencies of 3.7 to
   12.4\%, a mean predator-prey body-mass ratio of 109:1 and a mean ratio
   of the number of predator to prey species of 0.34. We conducted
   sensitivity analyses to show how differences in the fractionation of
   delta(15)N and changes in the slope of the relationship between
   production and delta(15)N affected our predictions. Our estimates of
   transfer efficiency and mean predator-prey body-mass ratios are similar
   to those obtained by costly and labour-intensive diet- and
   ecosystem-modelling studies. Coupled analyses of size and trophic
   structure may provide a method for validating ecosystem models and
   assessing human impacts on marine ecosystems.",10.3354/meps240011,"body size; food web; transfer efficiency; stable isotope analysis;
   production; diversity",,,,,,,,,,,,,,,,,,,
S Jennings and SPR Greenstreet and L Hill and GJ Piet and JK Pinnegar and KJ Warr,2002,"Long-term trends in the trophic structure of the North Sea fish
   community: evidence from stable-isotope analysis, size-spectra and
   community metrics",MARINE BIOLOGY,"Fishing has wide-ranging impacts on marine ecosystems. One of the most
   pervasive signs of intensive fishing is ``fishing down the food web{''},
   with landings increasingly dominated by smaller species from lower
   trophic levels. Decreases in the trophic level of landings are assumed
   to reflect those in fish communities, because size-selective mortality
   causes decreases in the relative abundance of larger species and in mean
   body size within species. However, existing analyses of fishing impacts
   on the trophic level of fish communities have focused on the role of
   changes in species composition rather than size composition. This will
   provide a biased assessment of the magnitude of fishing impacts, because
   fishes feed at different trophic levels as they grow. Here, we combine
   body size versus trophic level relationships for North Sea fishes
   (trophic level assessed using nitrogen stable-isotope analysis) with
   species-size-abundance data from two time-series of trawl-survey data
   (whole North Sea 1982-2000, central and northern North Sea 1925-1996) to
   predict long-term trends in the trophic structure of the North Sea fish
   community. Analyses of the 1982-2000 time-series showed that there was a
   slow but progressive decline in the trophic level of the demersal
   community, while there was no trend in the trophic level of the combined
   pelagic and demersal community. Analyses of the longer time-series
   suggested that there was no trend in the trophic level of the demersal
   community. We related temporal changes in trophic level to temporal
   changes in the slopes of normalised biomass size-spectra (which
   theoretically represent the trophic structure of the community), mean
   1092 body mass and mean 1092 maximum body mass. While the size-based
   metrics of community structure showed long-term trends that were
   consistent with the effects of increased fishery exploitation, these
   trends were only correlated with trophic level for the demersal
   community. Our analysis suggests that the effects of fishing on the
   trophic structure of fish communities can be much more complex than
   previously assumed. This is a consequence of sampled communities not
   reflecting all the pathways of energy transfer in a marine ecosystem and
   of the absence of historical data on temporal and spatial changes in the
   trophic level of individuals. For the North Sea fish community, changes
   in size structure due to the differential effects of fishing on species
   and populations with different life histories are a stronger and more
   universal indicator of fishing effects than changes in mean trophic
   level.",10.1007/s00227-002-0905-7,NA,,,,,,,,,,,,,,,,,,,
MJ {Vander Zanden} and S Chandra and BC Allen and JE Reuter and CR Goldman,2003,"Historical food web structure and restoration of native aquatic
   communities in the Lake Tahoe (California-Nevada) Basin",ECOSYSTEMS,"Plans for the restoration of aquatic ecosystems are increasingly
   focusing on the restoration and rehabilitation of self-sustaining native
   fish communities. Such efforts have not traditionally adopted an
   ecosystem-based perspective, which considers species as embedded within
   a broader food web context. In this study, we quantify food web changes
   in Lake Tahoe (California-Nevada) over the last century based on stable
   isotope analysis of museum-archived, preserved fish specimens collected
   during 4 historical periods and under present conditions. We also
   examine the contemporary food web of nearby Cascade Lake, which is free
   from most exotic species and contains a species assemblage resembling
   that of Lake Tahoe prior to historical species introductions. During the
   last century, the freshwater shrimp Mysis relicta and lake trout
   (Salvelinus namay-cush) have been introduced and established in Lake
   Tahoe, and the native top predator, Lahontan cutthroat trout
   (Oncorhynchus clarki henshawi; hereafter LCT), has been extirpated.
   Isotope analysis indicates that lake trout now occupy a trophic niche
   similar to that of historical LCT. Fish production has shifted from
   benthic to pelagic, corresponding with the eutrophication of Lake Tahoe
   during recent decades. The current Cascade Lake food web resembles that
   of the historical Lake Tahoe food web. Our isotope-based food web
   reconstructions reveal long-term food web changes in Lake Tahoe and can
   serve as the basis for setting historically relevant restoration
   targets. Unfortunately, the presence of normative species, particularly
   Mysis and lake trout, have dramatically altered the pelagic food web
   structure; as such, they are barriers to native fish community
   restoration. Fish community restoration efforts should focus on adjacent
   ecosystems, such as Cascade Lake, which have a high likelihood of
   success because they have not been heavily affected by normative
   introductions.",10.1007/s10021-002-0204-7,"food webs; historical reconstruction; stable isotopes; carbon; nitrogen;
   Lake Tahoe; energy flow; benthic zone; pelagic zone; Lahontan cutthroat
   trout",,,,,,,,,,,,,,,,,,,
